Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
784,United Arab Emirates,2005,"Seats held by women in national parliament, as of February (%)",2019-10,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2010,"Seats held by women in national parliament, as of February (%)",2019-10,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2015,"Seats held by women in national parliament, as of February (%)",2019-10,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2018,"Seats held by women in national parliament, as of February (%)",2019-10,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2019,"Seats held by women in national parliament, as of February (%)",2019-10,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2020,"Seats held by women in national parliament, as of February (%)",2019-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2021,"Seats held by women in national parliament, as of February (%)",2019-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2022,"Seats held by women in national parliament, as of February (%)",2019-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2000,"Seats held by women in national parliament, as of February (%)",2019-12,,18.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2005,"Seats held by women in national parliament, as of February (%)",2019-12,,18.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2010,"Seats held by women in national parliament, as of February (%)",2019-12,,19.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2015,"Seats held by women in national parliament, as of February (%)",2019-12,,22.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2018,"Seats held by women in national parliament, as of February (%)",2019-12,,32.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2019,"Seats held by women in national parliament, as of February (%)",2019-12,,32.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2020,"Seats held by women in national parliament, as of February (%)",2019-12,,33.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2021,"Seats held by women in national parliament, as of February (%)",2019-12,,33.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
826,United Kingdom,2022,"Seats held by women in national parliament, as of February (%)",2019-12,,34.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2000,"Seats held by women in national parliament, as of February (%)",2020-10,,22.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2005,"Seats held by women in national parliament, as of February (%)",2020-10,,21.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2010,"Seats held by women in national parliament, as of February (%)",2020-10,,30.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2015,"Seats held by women in national parliament, as of February (%)",2020-10,,36.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2018,"Seats held by women in national parliament, as of February (%)",2020-10,,37.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2019,"Seats held by women in national parliament, as of February (%)",2020-10,,36.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2020,"Seats held by women in national parliament, as of February (%)",2020-10,,36.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2021,"Seats held by women in national parliament, as of February (%)",2020-10,,36.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
834,United Rep. of Tanzania,2022,"Seats held by women in national parliament, as of February (%)",2020-10,,36.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2000,"Seats held by women in national parliament, as of February (%)",2020-11,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2005,"Seats held by women in national parliament, as of February (%)",2020-11,,14.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2010,"Seats held by women in national parliament, as of February (%)",2020-11,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2015,"Seats held by women in national parliament, as of February (%)",2020-11,,19.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2018,"Seats held by women in national parliament, as of February (%)",2020-11,,19.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2019,"Seats held by women in national parliament, as of February (%)",2020-11,,23.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2020,"Seats held by women in national parliament, as of February (%)",2020-11,,23.4,Data are as at 1 January of reporting year.;Total refers to all voting members of the House of Representatives.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2021,"Seats held by women in national parliament, as of February (%)",2020-11,,27.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
840,United States of America,2022,"Seats held by women in national parliament, as of February (%)",2020-11,,27.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2000,"Seats held by women in national parliament, as of February (%)",2019-10,,12.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2005,"Seats held by women in national parliament, as of February (%)",2019-10,,12.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2010,"Seats held by women in national parliament, as of February (%)",2019-10,,14.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2015,"Seats held by women in national parliament, as of February (%)",2019-10,,13.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2018,"Seats held by women in national parliament, as of February (%)",2019-10,,20.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2019,"Seats held by women in national parliament, as of February (%)",2019-10,,22.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2020,"Seats held by women in national parliament, as of February (%)",2019-10,,21.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2021,"Seats held by women in national parliament, as of February (%)",2019-10,,24.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
858,Uruguay,2022,"Seats held by women in national parliament, as of February (%)",2019-10,,25.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
860,Uzbekistan,2000,"Seats held by women in national parliament, as of February (%)",2019-12,,6.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
860,Uzbekistan,2005,"Seats held by women in national parliament, as of February (%)",2019-12,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
860,Uzbekistan,2010,"Seats held by women in national parliament, as of February (%)",2019-12,,22.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
